
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
Point-1(De 1 pt) 
     Coord. Z =           -0,061                                                                                

Point-4[4,4](De 1 pt) 
     Coord. X =           30,002                                                                                
     Coord. Y =           30,006                                                                                
     Coord. Z =           -0,068                                                                                

Point-4[4,5](De 1 pt) 
     Coord. X =           30,002                                                                                
     Coord. Y =           40,006                                                                                
     Coord. Z =           -0,074                                                                                

Point-4[4,6](De 1 pt) 
     Coord. X =           30,002                                                                                
     Coord. Y =           50,006                                                                                
     Coord. Z =           -0,079                                                                                

Point-4[4,7](De 1 pt) 
     Coord. X =           30,002                                                                                
     Coord. Y =           60,006                                                                                
     Coord. Z =           -0,079                                                                                

Point-4[4,8](De 1 pt) 
     Coord. X =           30,002                                                                                
     Coord. Y =           70,006                                                                                
     Coord. Z =           -0,076                                                                                

Point-4[4,9](De 1 pt) 
     Coord. X =           30,002                                                                                
     Coord. Y =           80,006                                                                                
     Coord. Z =           -0,069                                                                                

Point-4[4,10](De 1 pt) 
     Coord. X =           30,002                                                                                
     Coord. Y =           90,006                                                                                
     Coord. Z =           -0,060                                                                                

Point-4[5,1](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =            0,006                                                                                
     Coord. Z =           -0,043                                                                                

Point-4[5,2](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =           10,006                                                                                
     Coord. Z =           -0,056                                                                                

Point-4[5,3](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =           20,006                                                                                
     Coord. Z =           -0,066                                                                                

Point-4[5,4](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =           30,006                                                                                
     Coord. Z =           -0,072                                                                                

Point-4[5,5](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =           40,006                                                                                
     Coord. Z =           -0,077                                                                                

Point-4[5,6](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =           50,006                                                                                
     Coord. Z =           -0,080                                                                                

Point-4[5,7](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =           60,006                                                                                
     Coord. Z =           -0,079                                                                                

Point-4[5,8](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =           70,006                                                                                
     Coord. Z =           -0,077                                                                                

Point-4[5,9](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =           80,006                                                                                
     Coord. Z =           -0,070                                                                                

Point-4[5,10](De 1 pt) 
     Coord. X =           40,002                                                                                
     Coord. Y =           90,006                                                                                
