SRSNo,eventNo,hitX,hitY,time_diff_range_cut,totcharge,time_diff,time_diff_cor,charge_time_res
54,54,42.81433868408203,37.107757568359375,True,2.0632370959766035,6.236245216900642,-0.06439249573539563,87.74316842498408
56,56,38.50250244140625,33.3219108581543,True,9.132274101879936,6.2287849632040775,-0.0327644391066908,41.408694445529434
57,57,34.442081451416016,38.757781982421875,True,18.931215406206658,6.226462573823994,-0.023687287874258445,26.858960362647316
59,59,38.13755416870117,38.44664764404297,True,9.130629298646843,6.250962494929638,-0.010591018842395883,41.41338379348467
63,63,38.38559341430664,39.16413879394531,True,4.086244760202407,6.311457079173181,0.028133504751709282,66.38373572538718
66,66,36.76084518432617,32.341800689697266,True,21.044586127340132,6.222793134013472,-0.026463880677821905,25.39419043973621
67,67,33.412506103515625,36.55616760253906,True,48.4249346425944,6.243786972562873,0.0005276807540095518,18.62710801022252
68,68,37.1046028137207,34.99732208251953,True,64.17735308636483,6.2256720679073965,-0.014642555801694712,17.993456538440764
69,69,35.34501647949219,36.922340393066406,True,23.714306490467006,6.2411629140189575,-0.007213754254285831,23.908015795972346
73,73,33.84408950805664,33.85333251953125,True,23.92004272725231,6.280437115759639,0.03212030778344932,23.807294940788225
76,76,40.003238677978516,39.661155700683594,True,0.5995859668549764,6.758790042043898,0.44023707949754787,111.5209384667344
80,80,34.196651458740234,34.09419631958008,True,52.50994247434013,6.252931532609608,0.010436814775433234,18.383073916847277
81,81,40.72121047973633,32.146121978759766,True,2.556048299784959,6.228790128327859,-0.06694097406669464,81.52708610994307
85,85,39.910804748535156,33.83150863647461,True,7.0753377961289825,6.2113005337611185,-0.05658984880100526,48.57842446099424
87,87,37.98716354370117,37.57853698730469,True,4.796226345895419,6.317068260887737,0.038301918800852874,61.02189642839792
88,88,37.109031677246094,39.09016418457031,True,10.721779713786407,6.354842140008088,0.09671213436538117,37.45451422075612
89,89,37.286739349365234,32.865928649902344,True,20.216813539367447,6.272317619917942,0.02273683683725558,25.93301223179297
93,93,35.674007415771484,35.287620544433594,True,28.75118424974052,6.218896248660798,-0.028209432597753548,21.878827683541807
94,94,36.32109451293945,38.486263275146484,True,11.672965985996873,6.224762804107797,-0.031764853389157466,35.54177759648459
95,95,36.34066390991211,38.52257537841797,True,15.019737310077577,6.183615214171994,-0.0690416596573531,30.57826461595772
98,98,38.299537658691406,41.53828430175781,True,1.5768461184162283,6.520964073285569,0.21496623396997983,94.6810209071152
99,99,39.03154373168945,33.52603530883789,True,2.2962440747480963,6.180323055772675,-0.11793227372756299,84.70881599321726
101,101,38.24385070800781,32.86886215209961,True,12.499408667853132,6.35441552857975,0.09906786301212911,34.09242015772683
102,102,38.12375259399414,31.432537078857422,True,9.805118335473255,6.290154346693868,0.03018109578451167,39.60156103767181
104,104,43.687217712402344,39.48489761352539,True,2.5166969681432225,6.475763899799773,0.17965913558272284,81.99591539768969
111,111,39.43724822998047,34.70277404785156,True,6.752841359385678,6.319322600789917,0.050180513483701006,49.99234928484936
112,112,35.93902587890625,36.16291427612305,True,43.95584879214786,6.16585744071628,-0.0782409112368132,18.999573000352743
113,113,37.950748443603516,31.123987197875977,True,9.06068534901766,6.241856799909044,-0.019872779168677468,41.614096341247254
114,114,35.744956970214844,33.96818161010742,True,32.420593501188996,6.2419249260768765,-0.0044014243168337686,20.844108867357342
115,115,29.100452423095703,32.79194641113281,True,13.852170176789498,6.267664239963892,0.01390588904743062,32.06079683570809
118,118,35.558658599853516,31.726791381835938,True,26.170610822906376,6.274599077659502,0.026885247342336882,22.81290584593347
119,119,36.1510124206543,38.98048782348633,True,11.79700437571921,6.229934514113893,-0.026404399414152735,35.31263438135856
121,121,39.682373046875,30.861915588378906,True,2.3176421497256237,6.172018641840879,-0.12602361548885987,84.43891873437138
124,124,34.77664566040039,37.090660095214844,True,29.187907885235184,6.2076383377990965,-0.039370427485637904,21.739201228599917
130,130,35.231868743896484,38.435813903808594,True,26.480224045757897,6.254972462829016,0.007335462267919368,22.69015156478993
131,131,37.98362731933594,39.60890579223633,True,4.9157112211653295,6.265894768565602,-0.012167674549610652,60.20261678352776
