SRSNo,eventNo,hitX,hitY,time_diff_range_cut,totcharge,time_diff,time_diff_cor,charge_time_res
21020,16962,38.42819135482997,20.24620419332426,True,15.664621734473855,5.519554992521677,0.07308594033839633,39.425814878031815
21023,16965,37.86062386917742,18.14376426069704,True,4.627723015978043,5.6401220419130595,0.16301016470919372,86.10884263429965
21025,16967,52.844476255652026,21.9755622654745,True,5.00549645711073,5.5470187527240284,0.07206342179650438,80.78957179545726
21026,16968,31.36684950737104,11.71539880151618,True,4.783365370425719,5.694329872114878,0.21812069115334154,83.78774492143953
21028,16970,32.197426417102555,11.754127541633501,True,3.336314201685165,5.32959193345593,-0.1558308875525123,116.30671117377544
21029,16971,38.151637247163954,19.526191267248702,True,5.461120967022566,5.41575441110956,-0.05675176782721891,75.58837380929933
21030,16972,40.1211777778521,9.683324657074392,True,3.622047291161328,5.506987313364931,0.023535530703303387,107.39116938710903
21031,16973,33.416713610087356,18.36311805411561,True,43.19326540270446,5.447903547658001,-0.0020334927282856796,28.508295673659724
21035,16977,32.92407080245344,19.610649135014782,True,8.279934361112131,5.4451690843347365,-0.015379700842164112,57.60199964707813
21038,16980,37.02030667866746,21.575826514257145,True,5.639560264720009,5.580339507421456,0.1087490776265394,73.83445268850298
21039,16981,38.966351966335345,19.071214649775257,True,13.820533341011231,5.398069449643003,-0.05030855164198744,42.40565981848484
21040,16982,44.24643127232382,16.748655972415452,True,1.693032974210884,5.706912677643004,0.20851576164403074,222.09674172543794
21041,16983,37.17456185327817,16.343587300548815,True,3.9469317948287035,5.422163568013815,-0.05914081693320128,99.05736194280585
21042,16984,30.97478012189473,17.608424643947654,True,20.53093873123239,5.479439716197959,0.035093574966120755,34.2313202119646
21044,16986,38.06581680088827,18.090879701588253,True,16.992939027268243,5.38620595719587,-0.059326965882799954,37.675676791030135
21045,16987,34.71446191448055,20.333858019685092,True,14.66857821602767,5.635946685190106,0.18854432914309172,40.947481951429936
21046,16988,38.293868600505675,16.653815883479705,True,19.966159386778177,5.472606356496726,0.028173012582380252,34.68269034328603
21047,16989,35.62865390516307,17.769620973769932,True,35.13106363880374,5.422756470188432,-0.024752467943164547,29.1157888404549
21049,16991,36.7717170715332,15.840547822926142,True,21.88356672620641,5.485827484074804,0.0415687415379562,33.27339624448544
21052,16994,35.193137547741195,16.451281691250735,True,10.153085409412448,5.357907792860743,-0.09716531594495148,50.99620597325689
21054,16996,38.904732011768914,22.982448447240543,True,7.209356560933262,5.695817634144845,0.23131887261173745,62.683501637089954
21056,16998,32.69410274453359,18.402969987425084,True,35.59048352588632,5.459123384716378,0.011464239561855827,29.06203586478542
21057,16999,45.14003419222897,15.804925291505578,True,4.678155465112954,5.565145576770163,0.08832840634489258,85.33522213760375
21059,17001,32.049589679665765,14.684614286030808,True,30.36829666370386,5.485097974952424,0.039142935421965674,29.904239433604317
21065,17007,34.3928500136284,11.29222025936597,True,5.090348810865966,5.333534045224241,-0.14095282745755444,79.73143602130382
21066,17008,40.57241105380123,17.923591822794037,True,5.168433844106723,5.501282294383657,0.02722146729977304,78.79643063337781
21068,17010,34.99020249876258,20.193242974477272,True,5.956958319478322,5.498147563234312,0.02812788637597663,71.02923805513325
21070,17012,38.548477434132195,16.99501609802246,True,30.49382674445697,5.443680863870611,-0.0023136759462802914,29.876755826125983
21071,17013,37.22523644852312,11.326735953762107,True,13.082855930486849,5.38516803245426,-0.06421093721590676,43.810977602298465
21073,17015,33.98368710034514,16.865084791836672,True,8.875230812896334,5.447272610677828,-0.01135157713311763,55.25680058498422
21077,17019,30.352453153427334,13.217917886498856,True,25.016847585926293,5.4303770407495335,-0.014178835847503457,31.596007212477513
21078,17020,36.1071934634692,22.582877903768463,True,23.625215687315617,5.4618604101781045,0.017507777369131006,32.25940493784896
21079,17021,39.25844715066152,17.59539214878866,True,2.7355411026782437,6.638694195929304,1.148863174239203,141.70768202410648
21080,17022,36.897895447195395,19.900842588241787,True,12.464052329476637,5.4017486158046495,-0.04859067488526936,45.09911017703328
21081,17023,38.89367905708208,14.781784331961854,True,12.829221591999273,5.4727200484053355,0.022961371689792287,44.32628994342387
21082,17024,35.83269903104599,20.207663496879682,True,13.802504548964373,5.390358697033321,-0.058042012290218103,42.43842506557321
21083,17025,34.009499484545564,16.69433691730238,True,21.39475686584081,5.474878196463806,0.030606137482047657,33.60071956082013
21084,17026,36.28333235440189,16.487120484652586,True,18.707770182001667,5.469871517313862,0.025116638953171844,35.812978316775855
21086,17028,34.50210910953888,20.59123880569249,True,15.991205885610478,5.3813634783278985,-0.06484474517534355,38.96763719719291
21087,17029,34.456889061078634,21.20643289121863,True,5.197368503137908,5.394293406324607,-0.07961076814204482,78.45896298897785
21088,17030,32.07843973865248,16.80469110567276,True,4.835414460343516,5.2906355460403915,-0.18527623052804199,83.05372551632368
21089,17031,29.675240581982756,13.335785068877756,True,9.298378563207566,5.552803302756132,0.09543895574365102,53.74285408771007
21090,17032,37.46726263385929,13.608056342765076,True,32.23431249592556,5.484377276039282,0.037821959218423906,29.537629016269157
21091,17033,34.57627633499773,22.368892408397098,True,6.61696614191014,5.842750047938267,0.3757692076988981,66.19628468632843
21092,17034,33.76855761384311,20.154518414850106,True,12.507635902901953,5.435650797698287,-0.014617036818724394,45.00489802557306
21094,17036,32.45880226239766,19.731124486008735,True,17.40247732853187,5.467669448197739,0.022362748472636973,37.19318759378348
21095,17037,36.48739038754816,21.82294589526033,True,9.767551901822564,5.478710447968922,0.022644241363729556,52.188314514674744
21096,17038,39.19707212056199,16.318343123344526,True,14.228475069607875,5.581724349567679,0.13383784599992588,41.68431912553736
21097,17039,34.978767185995025,21.28955365533698,True,27.8244904930613,5.432310454803968,-0.012892550389846491,30.567049489572213
21098,17040,30.11262405081971,17.54238849796661,True,8.861758429247125,5.543021932105006,0.08435619195537924,55.30693598210337
21100,17042,34.67380210144879,18.27515659593556,True,31.833750739965136,5.4042258583813805,-0.04219870580976526,29.609166052923637
21101,17043,38.28958354584158,16.76124374180624,True,21.89726082637734,5.425930690394665,-0.01832795472893789,33.26451596305156
21102,17044,32.55004642434316,19.03839774980937,True,15.96579127596793,5.403837504571015,-0.04239026362702347,39.00261067294329
21103,17045,34.255157157166366,22.835508033020854,True,11.478133189818399,5.713837448986311,0.2617157092014928,47.38448000288926
