run_number,pool_number,channel_number,x_center,x_center_err,y_center,y_center_err
358,8,C2,39.49450007606507,0.1257423290278849,22.426663123580774,0.133369709790076
358,8,C4,29.46241329184457,0.0691969236801961,22.61930726551171,0.1014374807026748
358,3,C2,48.56196662336682,0.2054399601431431,22.570313593284315,0.0866765130355429
212,2,C2,34.220239412393255,0.11937252704431155,16.656185579485527,0.0944123045546402
249,3,C2,43.872753691700375,0.0710420473560237,36.92587116060781,0.0817632296951128
252,2,C2,14.206023901316978,0.1268354868381348,25.99682388723522,0.12070816912566
266,3,C2,54.01273312440527,0.1407004913048536,36.88238040284108,0.2988075318928845
268,3,C4,14.3661469492206,0.1301183156074227,15.900722238658693,0.0761138216385411
287,3,C4,44.310975773459326,0.1043064540552019,17.07727563953166,0.1311756860295772
302,2,C4,44.212125662450106,0.0564530118278326,27.14526816940529,0.053570449259084
303,3,C2,33.899368544143925,0.051007601569854,36.56033880460872,0.0839429518337553
304,3,C4,33.79011844707316,0.0912565186295948,46.56908912126818,0.0797302206272661
334,8,C4,36.631330624849376,0.1679506245897336,19.560751058610297,0.0533335374127704
343,3,C2,36.94560544784029,0.1198754815108331,29.36362508809756,0.1097007563275709
383,3,C4,39.986543864420014,inf,31.311306274100527,inf
